#Release 13.1 - par O.40d (nt64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Sun May 22 11:23:18 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       fmcw_fpga_map.ncd
#OUTPUT FILE:      fmcw_fpga_pad.csv
#PART TYPE:        xc6vlx75t
#SPEED GRADE:      -2
#PACKAGE:          ff784
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AB2,,OPAD,MGTTXN2_114,UNUSED,,,,,,,,,,,
AB3,,,GND,,,,,,,,,,,,
AB4,,,MGTAVCC,,,,,,,,,,,,
AB5,,,GND,,,,,,,,,,,,
AB6,,,TCK_0,,,,,,,,,,,,
AB7,adc_di_n<9>,IOB,IO_L2N_SM0N_35,,LVDS_25,35,,,,,,,NO,,
AB8,,IOBS,IO_L6N_SM3N_35,UNUSED,,35,,,,,,,,,
AB9,,IOBS,IO_L4N_VREF_35,UNUSED,,35,,,,,,,,,
AB10,,,VCCO_35,,,35,,,,,any******,,,,
AB11,,IOBM,IO_L9P_MRCC_35,UNUSED,,35,,,,,,,,,
AB12,,IOBM,IO_L1P_GC_34,UNUSED,,34,,,,,,,,,
AB13,cfg_addr<3>,IOB,IO_L3P_A13_D29_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AB14,cfg_addr<5>,IOB,IO_L5P_A09_D25_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AB15,,,GND,,,,,,,,,,,,
AB16,cfg_dq<5>,IOB,IO_L14P_A25_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AB17,,IOBS,IO_L17N_A18_34,UNUSED,,34,,,,,,,,,
AB18,,,NC,,,,,,,,,,,,
AB19,,,NC,,,,,,,,,,,,
AB20,,,VCCO_23,,,23,,,,,any******,,,,
AB21,,,NC,,,,,,,,,,,,
AB22,,IOBM,IO_L19P_24,UNUSED,,24,,,,,,,,,
AB23,dac_dco_p,IOB,IO_L11P_SRCC_24,INPUT,LVDS_25,24,,,,NONE,,UNLOCATED,NO,DIFF_TERM,
AB24,,IOBS,IO_L16N_CSO_B_24,UNUSED,,24,,,,,,,,,
AB25,,,GND,,,,,,,,,,,,
AB26,,IOBS,IO_L8N_SRCC_24,UNUSED,,24,,,,,,,,,
AB27,,IOBM,IO_L8P_SRCC_24,UNUSED,,24,,,,,,,,,
AB28,,IOBS,IO_L2N_D14_24,UNUSED,,24,,,,,,,,,
AC1,,,GND,,,,,,,,,,,,
AC2,,,MGTAVTT,,,,,,,,,,,,
AC3,,IPAD,MGTRXP3_114,UNUSED,,,,,,,,,,,
AC4,,IPAD,MGTRXN3_114,UNUSED,,,,,,,,,,,
AC5,,,GND,,,,,,,,,,,,
AC6,,,GND,,,,,,,,,,,,
AC7,,,VCCO_35,,,35,,,,,any******,,,,
AC8,,IOBM,IO_L6P_SM3P_35,UNUSED,,35,,,,,,,,,
AC9,,IOBM,IO_L3P_SM1P_35,UNUSED,,35,,,,,,,,,
AC10,,IOBM,IO_L5P_SM2P_35,UNUSED,,35,,,,,,,,,
AC11,,IOBS,IO_L7N_SM4N_35,UNUSED,,35,,,,,,,,,
AC12,,,GND,,,,,,,,,,,,
AC13,,IOBS,IO_L1N_GC_34,UNUSED,,34,,,,,,,,,
AC14,cfg_addr<4>,IOB,IO_L5N_A08_D24_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AC15,cfg_dq<0>,IOB,IO_L11N_SRCC_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AC16,,IOBS,IO_L14N_VREF_A24_34,UNUSED,,34,,,,,,,,,
AC17,,,VCCO_34,,,34,,,,,2.50,,,,
AC18,,,NC,,,,,,,,,,,,
AC19,,,NC,,,,,,,,,,,,
AC20,,,NC,,,,,,,,,,,,
AC21,,,NC,,,,,,,,,,,,
AC22,,,GND,,,,,,,,,,,,
AC23,dac_dco_n,IOB,IO_L11N_SRCC_24,,LVDS_25,24,,,,,,,NO,DIFF_TERM,
AC24,,IOBM,IO_L16P_RS0_24,UNUSED,,24,,,,,,,,,
AC25,,IOBM,IO_L7P_D5_24,UNUSED,,24,,,,,,,,,
AC26,,IOBM,IO_L12P_D3_24,UNUSED,,24,,,,,,,,,
AC27,,,VCCO_24,,,24,,,,,any******,,,,
AC28,,IOBM,IO_L2P_D15_24,UNUSED,,24,,,,,,,,,
AD1,,OPAD,MGTTXP1_114,UNUSED,,,,,,,,,,,
AD2,,OPAD,MGTTXN1_114,UNUSED,,,,,,,,,,,
AD3,,,GND,,,,,,,,,,,,
AD4,,,GND,,,,,,,,,,,,
AD5,,,GND,,,,,,,,,,,,
AD6,,,VFS_0,,,,,,,,,,,,
AD7,,IOBM,IO_L10P_MRCC_35,UNUSED,,35,,,,,,,,,
AD8,,IOBS,IO_L3N_SM1N_35,UNUSED,,35,,,,,,,,,
AD9,,,GND,,,,,,,,,,,,
AD10,,IOBS,IO_L5N_SM2N_35,UNUSED,,35,,,,,,,,,
AD11,,IOBM,IO_L7P_SM4P_35,UNUSED,,35,,,,,,,,,
AD12,,IOBS,IO_L0N_GC_34,UNUSED,,34,,,,,,,,,
AD13,adc_dclkq_p,IOB,IO_L6P_A07_D23_34,INPUT,LVDS_25,34,,,,NONE,,UNLOCATED,NO,NONE,
AD14,,,VCCO_34,,,34,,,,,2.50,,,,
AD15,cfg_dq<11>,IOB,IO_L11P_SRCC_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AD16,cfg_dq<6>,IOB,IO_L15P_A23_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AD17,cfg_dq<2>,IOB,IO_L12N_A02_D18_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AD18,,,NC,,,,,,,,,,,,
AD19,,,GND,,,,,,,,,,,,
AD20,,,NC,,,,,,,,,,,,
AD21,,,NC,,,,,,,,,,,,
AD22,,,NC,,,,,,,,,,,,
AD23,,IOBS,IO_L18N_24,UNUSED,,24,,,,,,,,,
AD24,,,VCCO_24,,,24,,,,,any******,,,,
AD25,,IOBS,IO_L7N_D4_24,UNUSED,,24,,,,,,,,,
AD26,,IOBS,IO_L12N_D2_FS2_24,UNUSED,,24,,,,,,,,,
AD27,,IOBS,IO_L1N_GC_24,UNUSED,,24,,,,,,,,,
AD28,,IOBM,IO_L1P_GC_24,UNUSED,,24,,,,,,,,,
AE1,,,GND,,,,,,,,,,,,
AE2,,,MGTAVTT,,,,,,,,,,,,
AE3,,IPAD,MGTRXP2_114,UNUSED,,,,,,,,,,,
AE4,,IPAD,MGTRXN2_114,UNUSED,,,,,,,,,,,
AE5,,,GND,,,,,,,,,,,,
AE6,,,GND,,,,,,,,,,,,
AE7,,IOBS,IO_L10N_MRCC_35,UNUSED,,35,,,,,,,,,
AE8,,IOBS,IO_L12N_SM5N_35,UNUSED,,35,,,,,,,,,
AE9,,IOBM,IO_L14P_35,UNUSED,,35,,,,,,,,,
AE10,adc_dclki_n,IOB,IO_L18N_GC_35,,LVDS_25,35,,,,,,,NO,DIFF_TERM,
AE11,,,VCCO_35,,,35,,,,,any******,,,,
AE12,,IOBS,IO_L15N_SM7N_35,UNUSED,,35,,,,,,,,,
AE13,,IOBM,IO_L0P_GC_34,UNUSED,,34,,,,,,,,,
AE14,adc_dclkq_n,IOB,IO_L6N_A06_D22_34,,LVDS_25,34,,,,,,,NO,,
AE15,cfg_dq<7>,IOB,IO_L15N_A22_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AE16,,,GND,,,,,,,,,,,,
AE17,cfg_dq<1>,IOB,IO_L12P_A03_D19_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AE18,,,NC,,,,,,,,,,,,
AE19,,,NC,,,,,,,,,,,,
AE20,,,NC,,,,,,,,,,,,
AE21,,,VCCO_23,,,23,,,,,any******,,,,
AE22,,,NC,,,,,,,,,,,,
AE23,,IOBM,IO_L18P_24,UNUSED,,24,,,,,,,,,
AE24,,IOBM,IO_L14P_FCS_B_24,UNUSED,,24,,,,,,,,,
AE25,,IOBM,IO_L10P_MRCC_24,UNUSED,,24,,,,,,,,,
AE26,,,GND,,,,,,,,,,,,
AE27,,IOBS,IO_L5N_D8_24,UNUSED,,24,,,,,,,,,
AE28,,IOBM,IO_L5P_D9_24,UNUSED,,24,,,,,,,,,
AF1,sfp0_txp,OPAD,MGTTXP0_114,,,,,,,,,,NO,,
AF2,sfp0_txn,OPAD,MGTTXN0_114,,,,,,,,,,NO,,
AF3,,,GND,,,,,,,,,,,,
AF4,,,MGTAVCC,,,,,,,,,,,,
AF5,,,GND,,,,,,,,,,,,
AF6,,,DOUT_BUSY_0,,,,,,,,,,,,
AF7,,IOBM,IO_L12P_SM5P_35,UNUSED,,35,,,,,,,,,
AF8,,,VCCO_35,,,35,,,,,any******,,,,
AF9,,IOBS,IO_L14N_VREF_35,UNUSED,,35,,,,,,,,,
AF10,adc_dclki_p,IOB,IO_L18P_GC_35,INPUT,LVDS_25,35,,,,NONE,,UNLOCATED,NO,DIFF_TERM,
AF11,,IOBM,IO_L11P_SRCC_35,UNUSED,,35,,,,,,,,,
AF12,,IOBM,IO_L15P_SM7P_35,UNUSED,,35,,,,,,,,,
AF13,,,GND,,,,,,,,,,,,
AF14,cfg_addr<6>,IOB,IO_L4P_A11_D27_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AF15,cfg_dq<12>,IOB,IO_L10N_MRCC_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AF16,cfg_dq<3>,IOB,IO_L13P_A01_D17_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AF17,,,NC,,,,,,,,,,,,
AF18,,,VCCO_23,,,23,,,,,any******,,,,
AF19,,,NC,,,,,,,,,,,,
AF20,,,NC,,,,,,,,,,,,
AF21,,,NC,,,,,,,,,,,,
AF22,,,NC,,,,,,,,,,,,
AF23,,,GND,,,,,,,,,,,,
AF24,,IOBS,IO_L14N_VREF_FOE_B_MOSI_24,UNUSED,,24,,,,,,,,,
AF25,,IOBS,IO_L10N_MRCC_24,UNUSED,,24,,,,,,,,,
AF26,,IOBM,IO_L9P_MRCC_24,UNUSED,,24,,,,,,,,,
AF27,,IOBS,IO_L3N_D12_24,UNUSED,,24,,,,,,,,,
AF28,,,VCCO_24,,,24,,,,,any******,,,,
AG1,,,GND,,,,,,,,,,,,
AG2,,,MGTAVTT,,,,,,,,,,,,
AG3,,IPAD,MGTRXP1_114,UNUSED,,,,,,,,,,,
AG4,,IPAD,MGTRXN1_114,UNUSED,,,,,,,,,,,
AG5,,,GND,,,,,,,,,,,,
AG6,,,CSI_B_0,,,,,,,,,,,,
AG7,,IOBM,IO_L16P_VRN_35,UNUSED,,35,,,,,,,,,
AG8,,IOBS,IO_L16N_VRP_35,UNUSED,,35,,,,,,,,,
AG9,,IOBM,IO_L13P_SM6P_35,UNUSED,,35,,,,,,,,,
AG10,,,GND,,,,,,,,,,,,
AG11,,IOBS,IO_L11N_SRCC_35,UNUSED,,35,,,,,,,,,
AG12,io_clkin_n,IOB,IO_L19N_GC_35,,LVDS_25,35,,,,,,,NO,DIFF_TERM,
AG13,,IOBS,IO_L4N_VREF_A10_D26_34,UNUSED,,34,,,,,,,,,
AG14,cfg_dq<13>,IOB,IO_L10P_MRCC_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AG15,,,VCCO_34,,,34,,,,,2.50,,,,
AG16,cfg_dq<4>,IOB,IO_L13N_A00_D16_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AG17,,,NC,,,,,,,,,,,,
AG18,,,NC,,,,,,,,,,,,
AG19,,,NC,,,,,,,,,,,,
AG20,,,GND,,,,,,,,,,,,
AG21,,,NC,,,,,,,,,,,,
AG22,,,NC,,,,,,,,,,,,
AG23,,IOBS,IO_L17N_VRP_24,UNUSED,,24,,,,,,,,,
AG24,,IOBM,IO_L15P_FWE_B_24,UNUSED,,24,,,,,,,,,
AG25,,,VCCO_24,,,24,,,,,any******,,,,
AG26,,IOBS,IO_L9N_MRCC_24,UNUSED,,24,,,,,,,,,
AG27,,IOBM,IO_L4P_D11_24,UNUSED,,24,,,,,,,,,
AG28,,IOBM,IO_L3P_D13_24,UNUSED,,24,,,,,,,,,
AH1,sfp0_rxp,IPAD,MGTRXP0_114,,,,,,,,,,NO,,
AH2,sfp0_rxn,IPAD,MGTRXN0_114,,,,,,,,,,NO,,
AH3,,,GND,,,,,,,,,,,,
AH4,,,MGTAVCC,,,,,,,,,,,,
AH5,,,GND,,,,,,,,,,,,
AH6,,,CCLK_0,,,,,,,,,,,,
AH7,,,GND,,,,,,,,,,,,
AH8,,IOBS,IO_L13N_SM6N_35,UNUSED,,35,,,,,,,,,
AH9,,IOBM,IO_L17P_35,UNUSED,,35,,,,,,,,,
AH10,,IOBS,IO_L17N_35,UNUSED,,35,,,,,,,,,
AH11,io_clkin_p,IOB,IO_L19P_GC_35,INPUT,LVDS_25,35,,,,NONE,,UNLOCATED,NO,DIFF_TERM,
AH12,,,VCCO_35,,,35,,,,,any******,,,,
AH13,cfg_addr<0>,IOB,IO_L7P_A05_D21_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AH14,cfg_fwe_b,IOB,IO_L7N_A04_D20_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AH15,cfg_dq<15>,IOB,IO_L9P_MRCC_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AH16,cfg_dq<14>,IOB,IO_L9N_MRCC_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AH17,,,GND,,,,,,,,,,,,
AH18,,,NC,,,,,,,,,,,,
AH19,,,NC,,,,,,,,,,,,
AH20,,,NC,,,,,,,,,,,,
AH21,,,NC,,,,,,,,,,,,
AH22,,,VCCO_23,,,23,,,,,any******,,,,
AH23,,IOBM,IO_L17P_VRN_24,UNUSED,,24,,,,,,,,,
AH24,,IOBS,IO_L15N_RS1_24,UNUSED,,24,,,,,,,,,
AH25,,IOBS,IO_L13N_D0_FS0_24,UNUSED,,24,,,,,,,,,
AH26,,IOBM,IO_L13P_D1_FS1_24,UNUSED,,24,,,,,,,,,
AH27,,,GND,,,,,,,,,,,,
AH28,,IOBS,IO_L4N_VREF_D10_24,UNUSED,,24,,,,,,,,,
B1,sfp1_rxp,IPAD,MGTRXP2_116,,,,,,,,,,NO,,
B2,sfp1_rxn,IPAD,MGTRXN2_116,,,,,,,,,,NO,,
B3,,,GND,,,,,,,,,,,,
B4,,,GND,,,,,,,,,,,,
B5,,,MGTRREF_115,,,,,,,,,,,,
B6,,,GND,,,,,,,,,,,,
B7,dac_d1_n<3>,IOBS,IO_L3N_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
B8,dac_d0_p<13>,IOBM,IO_L1P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
B9,dac_d1_p<13>,IOBM,IO_L12P_VRN_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
B10,,,VCCO_36,,,36,,,,,2.50,,,,
B11,adc_dq_p<10>,IOB,IO_L5P_26,INPUT,LVDS_25,26,,,,NONE,,UNLOCATED,YES,NONE,
B12,dac_d1_p<9>,IOBM,IO_L18P_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,YES,NONE,
B13,adc_did_n<7>,IOB,IO_L7N_26,,LVDS_25,26,,,,,,,NO,,
B14,dac_d1_p<5>,IOBM,IO_L9P_MRCC_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,YES,NONE,
B15,,,GND,,,,,,,,,,,,
B16,dac_d0_n<10>,IOBS,IO_L15N_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,NO,NONE,
B17,dac_d1_n<7>,IOBS,IO_L17N_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,NO,NONE,
B18,adc_dqd_p<4>,IOB,IO_L5P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
B19,adc_dqd_n<4>,IOB,IO_L5N_25,,LVDS_25,25,,,,,,,NO,,
B20,,,VCCO_25,,,25,,,,,any******,,,,
B21,adc_dq_p<11>,IOB,IO_L13P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
B22,adc_did_p<2>,IOB,IO_L17P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
B23,adc_did_n<2>,IOB,IO_L17N_25,,LVDS_25,25,,,,,,,NO,,
B24,adc_rclk_p,IOBM,IO_L1P_16,OUTPUT,LVDS_25,16,,,,,,UNLOCATED,YES,NONE,
B25,,,GND,,,,,,,,,,,,
B26,,IOBM,IO_L3P_16,UNUSED,,16,,,,,,,,,
B27,adc_di_p<2>,IOB,IO_L9P_MRCC_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
B28,adc_di_n<2>,IOB,IO_L9N_MRCC_16,,LVDS_25,16,,,,,,,NO,,
C1,,,GND,,,,,,,,,,,,
C2,,,MGTAVTT,,,,,,,,,,,,
C3,,IPAD,MGTRXP1_116,UNUSED,,,,,,,,,,,
C4,,IPAD,MGTRXN1_116,UNUSED,,,,,,,,,,,
C5,,,GND,,,,,,,,,,,,
C6,,,M2_0,,,,,,,,,,,,
C7,,,VCCO_36,,,36,,,,,2.50,,,,
C8,dac_d0_n<13>,IOBS,IO_L1N_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
C9,dac_d1_n<13>,IOBS,IO_L12N_VRP_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
C10,dac_d1_n<6>,IOBS,IO_L8N_SRCC_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
C11,adc_dq_n<10>,IOB,IO_L5N_26,,LVDS_25,26,,,,,,,NO,,
C12,,,GND,,,,,,,,,,,,
C13,dac_d1_n<9>,IOBS,IO_L18N_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,NO,NONE,
C14,adc_did_p<7>,IOB,IO_L7P_26,INPUT,LVDS_25,26,,,,NONE,,UNLOCATED,YES,NONE,
C15,dac_d0_p<10>,IOBM,IO_L15P_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,YES,NONE,
C16,dac_d1_n<12>,IOBS,IO_L16N_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,NO,NONE,
C17,,,VCCO_26,,,26,,,,,2.50,,,,
C18,adc_dqd_p<2>,IOB,IO_L3P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
C19,adc_dq_p<9>,IOB,IO_L12P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
C20,adc_dq_n<9>,IOB,IO_L12N_25,,LVDS_25,25,,,,,,,NO,,
C21,adc_dq_n<11>,IOB,IO_L13N_25,,LVDS_25,25,,,,,,,NO,,
C22,,,GND,,,,,,,,,,,,
C23,dac_dci_n,IOBS,IO_L4N_VREF_16,OUTPUT,LVDS_25,16,,,,,,UNLOCATED,NO,NONE,
C24,adc_rclk_n,IOBS,IO_L1N_16,OUTPUT,LVDS_25,16,,,,,,UNLOCATED,NO,NONE,
C25,,IOBS,IO_L3N_16,UNUSED,,16,,,,,,,,,
C26,,IOBS,IO_L18N_16,UNUSED,,16,,,,,,,,,
C27,,,VCCO_16,,,16,,,,,2.50,,,,
C28,adc_orq_n,IOB,IO_L11N_SRCC_16,,LVDS_25,16,,,,,,,NO,,
D1,,OPAD,MGTTXP3_116,UNUSED,,,,,,,,,,,
D2,,OPAD,MGTTXN3_116,UNUSED,,,,,,,,,,,
D3,,,GND,,,,,,,,,,,,
D4,,,MGTAVCC,,,,,,,,,,,,
D5,,,GND,,,,,,,,,,,,
D6,,,M1_0,,,,,,,,,,,,
D7,dac_d0_p<9>,IOBM,IO_L14P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
D8,dac_d1_p<8>,IOBM,IO_L5P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
D9,,,GND,,,,,,,,,,,,
D10,dac_d1_p<6>,IOBM,IO_L8P_SRCC_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
D11,adc_dclk_rst_n,IOBS,IO_L0N_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,NO,NONE,
D12,adc_did_n<5>,IOB,IO_L6N_26,,LVDS_25,26,,,,,,,NO,,
D13,adc_did_p<5>,IOB,IO_L6P_26,INPUT,LVDS_25,26,,,,NONE,,UNLOCATED,YES,NONE,
D14,,,VCCO_26,,,26,,,,,2.50,,,,
D15,adc_did_n<10>,IOB,IO_L12N_VRP_26,,LVDS_25,26,,,,,,,NO,,
D16,dac_d1_p<12>,IOBM,IO_L16P_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,YES,NONE,
D17,adc_dqd_p<6>,IOB,IO_L6P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
D18,adc_dqd_n<2>,IOB,IO_L3N_25,,LVDS_25,25,,,,,,,NO,,
D19,,,GND,,,,,,,,,,,,
